frame,track_id,x_center,y_center,width,height
2,1,1116,336,119,255
2,2,716,380,46,124
2,3,428,337,81,263
2,4,492,397,30,84
3,1,1114,337,121,257
3,2,716,380,46,124
3,3,425,338,82,265
3,4,491,396,29,85
3,5,464,372,33,143
4,1,1115,337,122,259
4,2,716,379,46,125
4,3,422,339,82,268
4,4,491,396,30,85
4,5,462,370,34,146
5,1,1114,338,125,260
5,2,716,379,46,125
5,3,420,338,82,269
5,4,490,396,29,85
5,5,460,368,35,152
6,1,1113,338,127,262
6,2,715,379,47,126
6,3,418,338,80,269
6,4,490,395,28,83
6,5,459,367,37,154
7,1,1114,339,128,262
7,2,715,379,47,126
7,3,417,338,80,271
7,4,490,394,28,82
7,5,458,367,37,156
8,1,1114,338,130,261
8,2,715,378,47,126
8,3,415,339,79,270
8,4,489,393,27,81
8,5,460,365,38,158
9,1,1115,338,132,262
9,2,715,377,47,127
9,3,414,338,78,270
9,4,488,392,27,79
9,5,458,367,37,152
10,1,1116,338,135,263
10,2,715,377,47,127
10,3,412,337,78,270
10,4,488,392,27,80
10,5,458,365,39,154
11,1,1119,337,136,263
11,2,715,377,47,128
11,3,410,336,78,272
11,4,487,391,27,79
11,5,458,364,39,154
12,1,1120,337,136,262
12,2,715,377,47,128
12,3,409,335,78,273
12,4,487,390,27,79
12,5,456,366,38,150
13,1,1120,335,136,263
13,2,716,376,47,127
13,3,407,334,77,275
13,4,487,390,27,79
13,5,457,363,40,154
14,1,1119,334,137,265
14,2,716,376,47,128
14,3,406,334,77,276
14,4,487,389,26,76
14,5,456,362,41,159
15,1,1118,333,136,265
15,2,716,375,47,127
15,3,404,332,77,277
15,4,487,388,26,74
15,5,456,362,43,160
16,1,1116,332,135,265
16,2,717,375,46,128
16,3,403,332,76,277
16,4,486,387,26,73
16,5,458,361,44,161
17,1,1114,332,134,266
17,2,717,374,47,127
17,3,401,332,76,278
17,4,486,387,26,75
17,5,458,360,44,161
18,1,1114,331,134,267
18,2,718,374,47,128
18,3,399,332,76,279
18,4,485,388,27,76
18,5,457,360,44,160
19,1,1114,330,133,268
19,2,719,374,46,128
19,3,397,333,76,280
19,4,484,388,29,79
19,5,455,359,45,161
20,1,1116,329,133,270
20,2,720,374,46,128
20,3,394,332,76,282
20,4,483,388,30,81
20,5,455,358,46,162
21,1,1118,329,135,274
21,2,720,373,46,128
21,3,391,331,77,284
21,4,483,388,30,82
21,5,455,358,47,165
22,1,1120,328,136,278
22,2,720,372,46,129
22,3,388,330,77,285
22,4,482,388,32,84
22,5,454,358,47,166
23,1,1120,327,139,284
23,2,719,372,47,130
23,3,385,329,78,287
23,4,482,388,32,84
23,5,454,358,48,168
24,1,1122,324,141,287
24,2,719,371,47,131
24,3,382,328,79,288
24,4,482,388,32,85
24,5,453,356,48,169
25,1,1123,323,143,290
25,2,720,371,48,132
25,3,379,326,79,291
25,4,481,387,33,87
25,5,452,356,48,170
26,1,1125,321,144,293
26,2,720,371,48,134
26,3,376,325,81,293
26,4,480,386,34,88
26,5,450,355,49,169
27,1,1125,320,146,298
27,2,720,371,49,136
27,3,374,324,81,295
27,4,479,385,34,90
27,5,449,355,49,170
28,1,1125,320,147,302
28,2,721,370,50,137
28,3,372,323,83,295
28,4,478,385,33,90
28,5,449,355,50,170
29,1,1125,319,148,306
29,2,721,370,49,139
29,3,368,323,85,299
29,4,478,384,34,89
29,5,448,355,50,170
30,1,1126,318,146,309
30,2,722,370,50,140
30,3,365,323,86,302
30,4,478,385,34,88
30,5,447,355,50,169
31,1,1124,318,145,312
31,2,722,370,50,140
31,3,360,322,88,305
31,4,478,386,34,88
31,5,445,355,51,169
32,1,1124,318,144,314
32,2,722,370,50,142
32,3,355,322,89,308
32,4,477,385,34,87
32,5,444,355,51,169
33,1,1125,317,144,316
33,2,722,370,51,142
33,3,350,320,92,309
